Compound Name,SMILES Representation
Butein,"['C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O', 'C1=CC(=C(C=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O)O']"
Butenafine hydrochloride,['CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32.Cl']
Butoconazole nitrate,['C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl.[N+](=O)(O)[O-]']
CCG-190730,['CC1=CC(=C(N1C2=CC=C(C=C2)F)C)C(=O)CN3CCCC3']
CCG-50014,['CC1=CC=C(C=C1)N2C(=O)N(C(=O)S2)CC3=CC=C(C=C3)F']
CCT-128930,['C1CN(CCC1(CC2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4']
CCT-137690,['CC1=CC(=NO1)CN2CCN(CC2)C3=C4C(=NC=C3Br)N=C(N4)C5=CC=C(C=C5)N6CCN(CC6)C']
CEP-33779,['CN1CCN(CC1)C2=CC=CC(=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C']
CFTR(inh)-172,"['C1=CC(=CC(=C1)N2C(=O)C(=CC3=CC=C(C=C3)C(=O)O)SC2=S)C(F)(F)F', 'C1=CC(=CC(=C1)N2C(=O)/C(=C/C3=CC=C(C=C3)C(=O)O)/SC2=S)C(F)(F)F']"
CGS 21680 hydrochloride,"['CCNC(=O)C1C(C(C(O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O.Cl', 'CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O.Cl']"
CHEMBL272357,['CC1=CC(=O)OC2=C1C=CC(=C2C=O)O']
CHEMBL590022,"['C1=CC(=CC=C1C2=CC=C(O2)C=C3C(=O)NC(=O)S3)F', 'C1=CC(=CC=C1C2=CC=C(O2)/C=C/3\\C(=O)NC(=O)S3)F']"
CHIR-124,"['C1CN2CCC1C(C2)NC3=C(C(=O)NC4=C3C=C(C=C4)Cl)C5=NC6=CC=CC=C6N5', 'C1CN2CCC1[C@@H](C2)NC3=C(C(=O)NC4=C3C=C(C=C4)Cl)C5=NC6=CC=CC=C6N5']"
CHIR-98014,['C1=CC(=C(C=C1Cl)Cl)C2=NC(=NC=C2N3C=CN=C3)NCCNC4=NC(=C(C=C4)[N+](=O)[O-])N']
CNX-774,['CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC(=CC=C4)NC(=O)C=C)F']
CP-673451,['COCCOC1=CC2=C(C=C1)N(C=N2)C3=NC4=C(C=CC=C4N5CCC(CC5)N)C=C3']
CP-91149,"['CN(C)C(=O)C(C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)O', 'CN(C)C(=O)[C@@H]([C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)O']"
CYC-116,['CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4']
CYP3cide,"['CC1=CC=C(C=C1)C2=C(C=NN2C)C3=NN(C4=C3C(=NC=N4)N5CCC(C5)N6CCCCC6)C', 'CC1=CC=C(C=C1)C2=C(C=NN2C)C3=NN(C4=C3C(=NC=N4)N5CC[C@@H](C5)N6CCCCC6)C']"
CZC-24832,['CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F']
Caffeic acid phenethyl ester,"['C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O', 'C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O']"
Camostat mesylate,['CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O']
Carbadox,"['COC(=O)NN=CC1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-]', 'COC(=O)N/N=C/C1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-]']"
Carbazochrome sodium sulfonate,['CN1C(CC2=CC(=C(C=C21)O)N=NC(=O)N)S(=O)(=O)[O-].[Na+]']
Carbenicillin disodium,"['CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)[O-])C(=O)[O-])C.[Na+].[Na+]', 'CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)[O-])C(=O)[O-])C.[Na+].[Na+]']"
Carbenoxolone sodium,"['CC1(C2CCC3(C(C2(CCC1OC(=O)CCC(=O)[O-])C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)[O-])C)C)C)C.[Na+].[Na+]', 'C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)OC(=O)CCC(=O)[O-])C)(C)C(=O)[O-].[Na+].[Na+]']"
Carbidopa,"['CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN', 'C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN']"
Caspofungin acetate,"['CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CCN)O)O)NCCN)O.CC(=O)O.CC(=O)O', 'CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H](CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](CCN)O)O)NCCN)O.CC(=O)O.CC(=O)O']"
Catharanthine,"['CCC1=CC2CC3(C1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC', 'CCC1=C[C@H]2C[C@]3([C@@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC']"
Cathepsin inhibitor 1,"['CC(C)(C)C1=NN(C(=C1)C(=O)NC(CC2=CC(=CC=C2)Cl)C(=O)NCC#N)C', 'CC(C)(C)C1=NN(C(=C1)C(=O)N[C@@H](CC2=CC(=CC=C2)Cl)C(=O)NCC#N)C']"
Cct-129202,['CN(C)C1=CC=C(C=C1)C2=NC3=NC=C(C(=C3N2)N4CCN(CC4)CC(=O)NC5=NC=CS5)Cl']
Cefoperazone,"['CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O', 'CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O']"
Cefoselis sulfate,"['CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CN4C=CC(=N)N4CCO)C(=O)O.OS(=O)(=O)O', 'CO/N=C(/C1=CSC(=N1)N)\\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CN4C=CC(=N)N4CCO)C(=O)O.OS(=O)(=O)O']"
Ceftiofur hydrochloride,"['CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O.Cl', 'CO/N=C(/C1=CSC(=N1)N)\\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O.Cl']"
Cephalomannine,"['CC=C(C)C(=O)NC(C1=CC=CC=C1)C(C(=O)OC2CC3(C(C4C(C(CC5C4(CO5)OC(=O)C)O)(C(=O)C(C(=C2C)C3(C)C)OC(=O)C)C)OC(=O)C6=CC=CC=C6)O)O', 'C/C=C(\\C)/C(=O)N[C@@H](C1=CC=CC=C1)[C@H](C(=O)O[C@H]2C[C@]3([C@H]([C@H]4[C@@]([C@H](C[C@@H]5[C@]4(CO5)OC(=O)C)O)(C(=O)[C@@H](C(=C2C)C3(C)C)OC(=O)C)C)OC(=O)C6=CC=CC=C6)O)O']"
Cepharanthine,"['CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3', 'CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@@H]7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3']"
Cerulenin,"['CC=CCC=CCCC(=O)C1C(O1)C(=O)N', 'C/C=C/C/C=C/CCC(=O)[C@@H]1[C@@H](O1)C(=O)N']"
Cetirizine hydrochloride,['C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl']
Cetrimonium bromide,['CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]']
Cetylpyridinium chloride,['CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]']
Cgk733,['C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC3=CC(=C(C=C3)F)[N+](=O)[O-]']
Chir-99021,['CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N']
Chloramphenicol,"['C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]', 'C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]']"
Chlorpheniramine maleate,"['CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O', 'CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\\C(=O)O)\\C(=O)O']"
Chlorpromazine hydrochloride,['CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl']
Chlorquinaldol,['CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl']
Choline chloride,['C[N+](C)(C)CCO.[Cl-]']
Chromocarb,['C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O']
Chrysin,['C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O']
Chrysophanol,['CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O']
Ciclopirox,['CC1=CC(=O)N(C(=C1)C2CCCCC2)O']
Ciclopirox olamine,['CC1=CC(=O)N(C(=C1)C2CCCCC2)O.C(CO)N']
Cilazapril monohydrate,"['CCOC(=O)C(CCC1=CC=CC=C1)NC2CCCN3CCCC(N3C2=O)C(=O)O.O', 'CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCCN3CCC[C@H](N3C2=O)C(=O)O.O']"
Cinacalcet hydrochloride,"['CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl', 'C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl']"
Cinchonidine,"['C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O', 'C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](C3=CC=NC4=CC=CC=C34)O']"
Cinchophen,['C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O']
Cinepazide maleate,"['COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCN(CC2)CC(=O)N3CCCC3.C(=CC(=O)O)C(=O)O', 'COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)N2CCN(CC2)CC(=O)N3CCCC3.C(=C\\C(=O)O)\\C(=O)O']"
Ciprofibrate,['CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl']
Ciproxifan,['C1CC1C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3']
Clemastine fumarate,"['CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C.C(=CC(=O)O)C(=O)O', 'C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C.C(=C/C(=O)O)\\C(=O)O']"
Cleocin,"['CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl.Cl', 'CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl.Cl']"
Clevudine,"['CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F', 'CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F']"
Climbazole,['CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl']
Clindamycin palmitate hydrochloride,"['CCCCCCCCCCCCCCCC(=O)OC1C(C(C(OC1SC)C(C(C)Cl)NC(=O)C2CC(CN2C)CCC)O)O.Cl', 'CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1SC)[C@@H]([C@H](C)Cl)NC(=O)[C@@H]2C[C@H](CN2C)CCC)O)O.Cl']"
Clofibric acid,['CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl']
Clomiphene citrate,"['CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O', 'CCN(CC)CCOC1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\\Cl)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O']"
Clonidine hydrochloride,['C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl']
Clorprenaline hydrochloride,['CC(C)NCC(C1=CC=CC=C1Cl)O.Cl']
Clorsulon,['C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(=C(Cl)Cl)Cl']
Closantel,['CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)O)Cl)C(C#N)C3=CC=C(C=C3)Cl']
Closantel sodium,['CC1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)I)I)[O-])Cl)C(C#N)C3=CC=C(C=C3)Cl.[Na+]']
Cloxapen,"['CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].O.[Na+]', 'CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].O.[Na+]']"
Conivaptan hydrochloride,['CC1=NC2=C(N1)CCN(C3=CC=CC=C32)C(=O)C4=CC=C(C=C4)NC(=O)C5=CC=CC=C5C6=CC=CC=C6.Cl']
Costunolide,"['CC1=CCCC(=CC2C(CC1)C(=C)C(=O)O2)C', 'C/C/1=C\\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C']"
Cryptotanshinone,"['CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C', 'C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C']"
Curcumol,"['CC1CCC2C13CC(C(O3)(CC2=C)O)C(C)C', 'C[C@H]1CC[C@@H]2[C@]13C[C@H]([C@](O3)(CC2=C)O)C(C)C']"
Cyclamic acid,['C1CCC(CC1)NS(=O)(=O)O']
Cyclizine hydrochloride,['CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl']
Cyclocytidine hydrochloride,"['C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N.Cl', 'C1=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)OC2=NC1=N.Cl']"
Cyproheptadine hydrochloride,['CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1.Cl']
Cyromazine,['C1CC1NC2=NC(=NC(=N2)N)N']
Cysteamine hydrochloride,['C(CS)N.Cl']
D-Amygdalin,['C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O']
D-Glucose,"['C(C1C(C(C(C(O1)O)O)O)O)O', 'C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O']"
D-Xylose,"['C1C(C(C(C(O1)O)O)O)O', 'C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O']"
DL-Carnitine hydrochloride,['C[N+](C)(C)CC(CC(=O)O)O.[Cl-]']
DNA Methyltransferase Inhibitor II,['CC1=CC(=NC(=N1)N)NC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)NC4=CC=NC5=CC=CC=C54']
Dabigatran etexilate methanesulfonate,"['CCCCCCOC(=O)N=C(C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)N.CS(=O)(=O)O', 'CCCCCCOC(=O)/N=C(/C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)\\N.CS(=O)(=O)O']"
Dacinostat,"['C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)C=CC(=O)NO', 'C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)/C=C/C(=O)NO']"
Daidzein,['C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O']
Daphnetin,['C1=CC(=C(C2=C1C=CC(=O)O2)O)O']
Dapt,"['CC(C(=O)NC(C1=CC=CC=C1)C(=O)OC(C)(C)C)NC(=O)CC2=CC(=CC(=C2)F)F', 'C[C@@H](C(=O)N[C@@H](C1=CC=CC=C1)C(=O)OC(C)(C)C)NC(=O)CC2=CC(=CC(=C2)F)F']"
Darifenacin hydrobromide,"['C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5.Br', 'C1CN(C[C@@H]1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5.Br']"
Darinaparsin,"['C[As](C)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N', 'C[As](C)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N']"
Darunavir ethanolate,"['CCO.CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N', 'CCO.CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N']"
Decamethonium bromide,['C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-]']
Degrasyn,"['CCCC(C1=CC=CC=C1)NC(=O)C(=CC2=NC(=CC=C2)Br)C#N', 'CCC[C@@H](C1=CC=CC=C1)NC(=O)/C(=C/C2=NC(=CC=C2)Br)/C#N']"
Dehydroepiandrosterone,"['CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C', 'C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C']"
Deoxyarbutin,['C1CCOC(C1)OC2=CC=C(C=C2)O']
Desmethyl Erlotinib,['COCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCO.Cl']
Desvenlafaxine Succinate,['CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O.C(CC(=O)O)C(=O)O']
Detomidine hydrochloride,['CC1=C(C(=CC=C1)CC2=CN=CN2)C.Cl']
Detrol,"['CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(C(C(=O)O)O)(C(=O)O)O', 'CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O']"
Dexrazoxane hydrochloride,"['CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2.Cl', 'C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2.Cl']"
Dibenzothiophene,['C1=CC=C2C(=C1)C3=CC=CC=C3S2']
Dibucaine hydrochloride,['CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC.Cl']
Diclazuril,['C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl']
Diclofenac diethylamine,['CCNCC.C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl']
Diclofenac potassium,['C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[K+]']
Diclofenac sodium,['C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+]']
Dicloxacillin sodium,"['CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+]', 'CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+]']"
Dicyclomine hydrochloride,['CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl']
Diethylstilbestrol,"['CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O', 'CC/C(=C(/CC)\\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O']"
Dificid,"['CCC1C=C(C(CC=CC=C(C(=O)OC(CC=C(C=C(C1OC2C(C(C(C(O2)(C)C)OC(=O)C(C)C)O)O)C)C)C(C)O)COC3C(C(C(C(O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)C', 'CC[C@H]1/C=C(/[C@H](C/C=C/C=C(/C(=O)O[C@@H](C/C=C(/C=C(/[C@@H]1O[C@H]2[C@H]([C@H]([C@@H](C(O2)(C)C)OC(=O)C(C)C)O)O)\\C)\\C)[C@@H](C)O)\\CO[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)\\C']"
Difloxacin hydrochloride,['CN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F.Cl']
Dihydrodiethylstilbestrol,['CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O']
Diltiazem hydrochloride,"['CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl', 'CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl']"
Dimaprit Dihydrochloride,['CN(C)CCCSC(=N)N.Cl.Cl']
Dimesna,['C(CS(=O)(=O)[O-])SSCCS(=O)(=O)[O-].[Na+].[Na+]']
Dimethyl fumarate,"['COC(=O)C=CC(=O)OC', 'COC(=O)/C=C/C(=O)OC']"
Diminazene aceturate,['CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.C1=CC(=CC=C1C(=N)N)NN=NC2=CC=C(C=C2)C(=N)N']
Dioscin,"['CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1', 'C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C)OC1']"
Diperodon hydrochloride,['C1CCN(CC1)CC(COC(=O)NC2=CC=CC=C2)OC(=O)NC3=CC=CC=C3.Cl']
Diphenhydramine hydrochloride,['CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl']
Diprophylline,['CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O']
Disufenton sodium,"['CC(C)(C)[N+](=CC1=C(C=C(C=C1)S(=O)(=O)[O-])S(=O)(=O)[O-])[O-].[Na+].[Na+]', 'CC(C)(C)/[N+](=C/C1=C(C=C(C=C1)S(=O)(=O)[O-])S(=O)(=O)[O-])/[O-].[Na+].[Na+]']"
Divalproex sodium,['CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]']
Dizocilpine,"['CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24', 'C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24']"
Domiphen bromide,['CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-]']
Dopamine hydrochloride,['C1=CC(=C(C=C1CCN)O)O.Cl']
Doramapimod,['CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5']
Doripenem hydrate,"['CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O.O', 'C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)CNS(=O)(=O)N)C(=O)O)[C@@H](C)O.O']"
Dorsomorphin,['C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3']
Doryx,"['CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl.Cl', 'CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl.Cl']"
Dovitinib dilactic acid,['CC(C(=O)O)O.CC(C(=O)O)O.CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N']
Doxapram hydrochloride monohydrate,['CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4.O.Cl']
Doxazosin mesylate,['COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O']
